Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
E O N L Y Festival,2022-07-29,2,indoor,Electronicmusic,"Electro
Gothic",Saxony,"Kulturpark Deutzen Arno- Bahndorf- Straße12 Neukieritzsch, DE 04574",,105.0,
Watten Schlick Festival,2022-07-29,3,outdoor,Mixed,"Hip-Hop
Pop
Punk
Rock",LowerSaxony,"Kurhaus Dangast Strand Ander Rennweide46 Varel, DE 26316",6000,,
Trebur Open Air,2022-07-29,3,outdoor,Mixed,"Electro
Hip-Hop
Punk
Rock",Hesse,"Nebendem Treburer Freibad Astheimer Straße88 Trebur, DE 65468",8000,54.9,439200.0
Burning Q Festival,2022-07-29,2,outdoor,Metal,Metal,LowerSaxony,"Burning Q Festivalwiese Heimelberg16 Osterholz- Scharmbeck, DE 27721",999,45.0,44955.0
Holzrock Open Air,2022-07-29,2,outdoor,Punk,"Crossover
Movie
Art&culture
Reading
Punk
Rock
Ska
Other",Baden-Württemberg,"Sengelenwäldchen Schwarzwaldstraße101 Schopfheim, DE 79650",1000,,
S N N T G Festival,2022-07-29,3,outdoor,Mixed,"Africa
Blues
Electro
Funk
Hip-Hop
House
Jazz
Classicalmusic
Art&culture
Reading
Pop
Reggae",LowerSaxony,"Hannoversches Straßenbahn- Museume. V. Hohenfelser Str.16 Sehnde, DE 31319",3000,,
Detect Classic Festival,2022-07-29,3,outdoor,Classicalmusic,"Electro
Classicalmusic
Other",Mecklenburg-Western-Pomerania,"RW N- Gelände Nemerower Straße4 Neubrandenburg, DE 17033",,95.0,
Halleluja Festival,2022-07-29,1,outdoor,Schlagermusic,Schlagermusic,Northrhine-Westphalia,"Flughafen Münster Osnabrück Airport Allee1 Greven, DE 48268",15000,,
Sim Sala Boom Festival,2022-07-29,3,outdoor,Electronicmusic,"Electro
Goa
Art&culture
Other",Mecklenburg-Western-Pomerania,"Menkendorf, DE 19294",1000,132.5,132500.0
Hillof Dreams Festival,2022-07-29,3,outdoor,Electronicmusic,"Dance
Electro
ElectronicDanceMusic(EDM)
Hardcore(Electro)
House",LowerSaxony,"Freidorferweg Bruchhausen Vilsen, DE 27305",4000,46.0,184000.0
Rockthe Forest Festival,2022-07-29,2,outdoor,Rock,"Metal
Rock",Rhineland-Palatinate,"Waldfestplatz Rengsdorf Bayerstraße Rengsdorf, DE 56579",500,45.0,22500.0
Sunny Days Festival,2022-07-29,2,outdoor,Rock,"Blues
Germanrock
Funk
Pop
Rock
Rockabilly
Ska",Austria,"Sunny Days Festivalgelände Dieter Dobl- Zwaring, AT 8142",400,0.0,0.0
Refuse Open Air,2022-07-29,2,outdoor,Punk,"Hardcore(Metal)
Punk
Ska",LowerSaxony,"UJZ Peine Beneckestraße9 Peine, DE 31224",400,35.0,14000.0
